[INFO] | Logging server started and listening for messages...
[INFO] | 2025-03-20 22:16:18.476 | INFO | main_window.py:setup_logging:79 | ✅ Logging initialized successfully.
[INFO] | 2025-03-20 22:16:18.684 | INFO | main_window.py:main:702 | Starting Streamlit app.
[INFO] | 2025-03-20 22:16:18.685 | INFO | main_window.py:main:707 | User selected API source: Local Processing
[DEBUG] | DEBUG main_window.py:714 - 2025-03-20 22:16:18.685 | DEBUG | main_window.py:main:714 | Setting client mode to 'local'.
[INFO] | 2025-03-20 22:16:18.686 | INFO | main_window.py:main:722 | User selected gesture recognition type: Body Posture
[INFO] | 2025-03-20 22:16:18.687 | INFO | main_window.py:set_gesture_type:137 | Gesture type set to Body Posture.
[DEBUG] | DEBUG main_window.py:725 - 2025-03-20 22:16:18.687 | DEBUG | main_window.py:main:725 | Gesture type set to: body
[INFO] | 2025-03-20 22:16:18.688 | INFO | main_window.py:main:754 | User selected game: Subway Surfers
[DEBUG] | DEBUG main_window.py:764 - 2025-03-20 22:16:18.689 | DEBUG | main_window.py:main:764 | Webcam checkbox state: False
[INFO] | 2025-03-20 22:16:24.362 | INFO | main_window.py:__init__:116 | GestureRecognitionApp initialized successfully.
[INFO] | 2025-03-20 22:16:24.377 | INFO | main_window.py:setup_logging:79 | ✅ Logging initialized successfully.
[INFO] | 2025-03-20 22:16:24.381 | INFO | main_window.py:main:702 | Starting Streamlit app.
[INFO] | 2025-03-20 22:16:24.383 | INFO | main_window.py:main:707 | User selected API source: FastAPI
[DEBUG] | DEBUG main_window.py:711 - 2025-03-20 22:16:24.384 | DEBUG | main_window.py:main:711 | Setting API source to: FastAPI
[INFO] | 2025-03-20 22:16:24.384 | INFO | main_window.py:set_api_source:122 | API source set to FastAPI.
[INFO] | 2025-03-20 22:16:24.385 | INFO | main_window.py:main:722 | User selected gesture recognition type: Body Posture
[INFO] | 2025-03-20 22:16:24.386 | INFO | main_window.py:set_gesture_type:137 | Gesture type set to Body Posture.
[DEBUG] | DEBUG main_window.py:725 - 2025-03-20 22:16:24.386 | DEBUG | main_window.py:main:725 | Gesture type set to: body
[INFO] | 2025-03-20 22:16:24.388 | INFO | main_window.py:main:754 | User selected game: Subway Surfers
